Dataset: Fashion Product Images (Small), Param Aggarwal (Kaggle)
https://www.kaggle.com/datasets/paramaggarwal/fashion-product-images-small
Mirror en Hugging Face: https://huggingface.co/datasets/ashraq/fashion-product-images-small
Aviso: no es una licencia libre explicita (origen e-commerce Myntra via Kaggle) -- uso apropiado para prototipo de investigacion academica, revisar antes de cualquier otro uso.

tshirts_1.jpg: Puma Men Grey T-shirt (articleType=Tshirts, usage=Casual, gender=Men, color=Grey, id_dataset=53759)
tshirts_2.jpg: Inkfruit Mens Chain Reaction T-shirt (articleType=Tshirts, usage=Casual, gender=Men, color=Grey, id_dataset=1855)
tshirts_3.jpg: Fila Men's Round Neck Navy Blue T-shirt (articleType=Tshirts, usage=Sports, gender=Men, color=Navy Blue, id_dataset=7990)
tshirts_4.jpg: Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear (articleType=Tshirts, usage=Casual, gender=Boys, color=Green, id_dataset=4729)
tshirts_5.jpg: Jealous 21 Women's Pink T-shirt (articleType=Tshirts, usage=Casual, gender=Women, color=Pink, id_dataset=3954)
tshirts_6.jpg: Puma Men's Stripe Polo Black T-shirt (articleType=Tshirts, usage=Casual, gender=Men, color=Black, id_dataset=5891)
tshirts_7.jpg: Nike Women Purple Polo T-shirt (articleType=Tshirts, usage=Casual, gender=Women, color=Purple, id_dataset=38630)
tshirts_8.jpg: Wrangler Men Motor Rider Red T-Shirts (articleType=Tshirts, usage=Casual, gender=Men, color=Red, id_dataset=10866)
tshirts_9.jpg: Puma Men Scribble Black Tshirts (articleType=Tshirts, usage=Casual, gender=Men, color=Black, id_dataset=15528)
tshirts_10.jpg: Nike Women Black T-shirt (articleType=Tshirts, usage=Sports, gender=Women, color=Black, id_dataset=2288)
tshirts_11.jpg: Manchester United Men Solid Red Tshirt (articleType=Tshirts, usage=Casual, gender=Men, color=Red, id_dataset=18237)
tshirts_12.jpg: United Colors of Benetton Men Solid Pink Polo T-shirts (articleType=Tshirts, usage=Casual, gender=Men, color=Pink, id_dataset=13419)
tshirts_13.jpg: ADIDAS Men's Twelve Faster T-shirt (articleType=Tshirts, usage=Casual, gender=Men, color=Black, id_dataset=5865)
tshirts_14.jpg: Indigo Nation Men Printed Black T-shirt (articleType=Tshirts, usage=Casual, gender=Men, color=Black, id_dataset=29584)
tshirts_15.jpg: Classic Polo Men Vulcan White Polo Tshirts (articleType=Tshirts, usage=Casual, gender=Men, color=White, id_dataset=9694)
tshirts_16.jpg: Doodle Boy's Route 66 Biker Blue Teen Kidswear (articleType=Tshirts, usage=Casual, gender=Boys, color=Blue, id_dataset=8322)
tshirts_17.jpg: Puma Men's Large Logo Graphic Black T-shirt (articleType=Tshirts, usage=Sports, gender=Men, color=Black, id_dataset=7964)
tshirts_18.jpg: U.S. Polo Assn. Men Stripes Black  Polo Tshirt (articleType=Tshirts, usage=Casual, gender=Men, color=Black, id_dataset=17240)
tshirts_19.jpg: Myntra Men's Brain Black T-shirt (articleType=Tshirts, usage=Casual, gender=Men, color=Black, id_dataset=3365)
tshirts_20.jpg: Puma Men ducati logo tee Yellow Tshirts (articleType=Tshirts, usage=Casual, gender=Men, color=Yellow, id_dataset=10065)
tshirts_21.jpg: Wrangler Men's Minstrel Shoulder Loop Purple T-shirt (articleType=Tshirts, usage=Casual, gender=Men, color=Purple, id_dataset=5092)
tshirts_22.jpg: Wrangler Men Furious Rides Navy Blue T-Shirts (articleType=Tshirts, usage=Casual, gender=Men, color=Navy Blue, id_dataset=10859)
tshirts_23.jpg: Locomotive Men Navy Blue Printed T-shirt (articleType=Tshirts, usage=Casual, gender=Men, color=Navy Blue, id_dataset=24062)
tshirts_24.jpg: Nike Men Printed Black T-shirt (articleType=Tshirts, usage=Casual, gender=Men, color=Black, id_dataset=30650)
tshirts_25.jpg: Classic Polo Men Stripes Blue Tshirts (articleType=Tshirts, usage=Casual, gender=Men, color=Blue, id_dataset=14293)
tshirts_26.jpg: UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt (articleType=Tshirts, usage=Casual, gender=Men, color=Navy Blue, id_dataset=6041)
tshirts_27.jpg: Little Miss Women Printed Grey T-shirt (articleType=Tshirts, usage=Casual, gender=Women, color=Grey, id_dataset=9835)
tshirts_28.jpg: Myntra Men's If You Don't Like Navy Blue T-shirt (articleType=Tshirts, usage=Casual, gender=Men, color=Navy Blue, id_dataset=3533)
tshirts_29.jpg: Tantra Women Flower Heart Black Long T-shirt (articleType=Tshirts, usage=Casual, gender=Women, color=Black, id_dataset=3701)
tshirts_30.jpg: Puma Men White and Navy Blue T-shirt (articleType=Tshirts, usage=Casual, gender=Men, color=White, id_dataset=53766)
tshirts_31.jpg: Classic Polo Men's Swiss Yellow T-shirt (articleType=Tshirts, usage=Casual, gender=Men, color=Yellow, id_dataset=6287)
tshirts_32.jpg: Tantra Men's Black Sabbath Navy T-shirt (articleType=Tshirts, usage=Casual, gender=Men, color=Navy Blue, id_dataset=7355)
tshirts_33.jpg: French Connection Men White T-shirt (articleType=Tshirts, usage=Casual, gender=Men, color=White, id_dataset=43500)
tshirts_34.jpg: United Colors of Benetton Men Olive Tshirts (articleType=Tshirts, usage=Casual, gender=Men, color=Olive, id_dataset=11527)
tshirts_35.jpg: Arrow Sport Men Solid White Polo Tshirts (articleType=Tshirts, usage=Casual, gender=Men, color=White, id_dataset=15187)
tshirts_36.jpg: Wrangler Men Applique Navy Blue Tshirt (articleType=Tshirts, usage=Casual, gender=Men, color=Navy Blue, id_dataset=20260)
tshirts_37.jpg: Urban Yoga Women Printed Pink T-shirt (articleType=Tshirts, usage=Casual, gender=Women, color=Pink, id_dataset=28469)
tshirts_38.jpg: ADIDAS Men Stripe Polo White Polo T-shirt (articleType=Tshirts, usage=Sports, gender=Men, color=White, id_dataset=2243)
tshirts_39.jpg: Indian Terrain Men Blue T-shirt (articleType=Tshirts, usage=Casual, gender=Men, color=Blue, id_dataset=44341)
tshirts_40.jpg: Wrangler Cowboy Photo T-shirt (articleType=Tshirts, usage=Casual, gender=Men, color=Grey, id_dataset=4386)
jeans_1.jpg: Peter England Men Party Blue Jeans (articleType=Jeans, usage=Casual, gender=Men, color=Blue, id_dataset=39386)
jeans_2.jpg: Jealous 21 Women Black Jeans (articleType=Jeans, usage=Casual, gender=Women, color=Black, id_dataset=26994)
jeans_3.jpg: Jealous 21 Women Black Jegging (articleType=Jeans, usage=Casual, gender=Women, color=Black, id_dataset=7193)
jeans_4.jpg: Tokyo Talkies Women Navy Slim Fit Jeans (articleType=Jeans, usage=Casual, gender=Women, color=Navy Blue, id_dataset=40371)
jeans_5.jpg: Locomotive Men Washed Blue Jeans (articleType=Jeans, usage=Casual, gender=Men, color=Blue, id_dataset=16508)
jeans_6.jpg: Jealous 21 Women Washed Blue Jeans (articleType=Jeans, usage=Casual, gender=Women, color=Blue, id_dataset=26993)
jeans_7.jpg: Denizen Women Blue Jeans (articleType=Jeans, usage=Casual, gender=Women, color=Blue, id_dataset=51499)
jeans_8.jpg: Jealous 21 Women's Aaren Black Jegging (articleType=Jeans, usage=Casual, gender=Women, color=Black, id_dataset=7709)
jeans_9.jpg: Lee Men Blue Chicago Fit Jeans (articleType=Jeans, usage=Casual, gender=Men, color=Blue, id_dataset=11349)
jeans_10.jpg: Peter England Men Party Black Jeans (articleType=Jeans, usage=Casual, gender=Men, color=Black, id_dataset=39381)
jeans_11.jpg: United Colors of Benetton Women Denim Black Jeans (articleType=Jeans, usage=Casual, gender=Women, color=Black, id_dataset=11520)
jeans_12.jpg: Gini and Jony Boys Solid Black Jeans (articleType=Jeans, usage=Casual, gender=Boys, color=Black, id_dataset=31111)
jeans_13.jpg: Lee Men Blue Chicago Fit Jeans (articleType=Jeans, usage=Casual, gender=Men, color=Blue, id_dataset=11340)
jeans_14.jpg: Deni Yo Men White Jeans (articleType=Jeans, usage=Casual, gender=Men, color=White, id_dataset=30453)
jeans_15.jpg: Peter England Men Black Jeans (articleType=Jeans, usage=Casual, gender=Men, color=Black, id_dataset=39388)
jeans_16.jpg: Jealous 21 Women's Abbie Black Jegging (articleType=Jeans, usage=Casual, gender=Women, color=Black, id_dataset=7707)
jeans_17.jpg: Denizen Women Navy Blue Jeans (articleType=Jeans, usage=Casual, gender=Women, color=Navy Blue, id_dataset=51497)
jeans_18.jpg: Lee Men Elvira Rinse Blue Chicago Fit Jeans (articleType=Jeans, usage=Casual, gender=Men, color=Blue, id_dataset=11347)
jeans_19.jpg: Locomotive Men Washed Blue Jeans (articleType=Jeans, usage=Casual, gender=Men, color=Blue, id_dataset=16506)
jeans_20.jpg: Palm Tree Kids Boy Washed Blue Jeans (articleType=Jeans, usage=Casual, gender=Men, color=Blue, id_dataset=13246)
jeans_21.jpg: Lee Rinse Navy Blue Slim Fit Jeans (articleType=Jeans, usage=Casual, gender=Men, color=Navy Blue, id_dataset=44581)
jeans_22.jpg: Locomotive Men Washed Grey Jeans (articleType=Jeans, usage=Casual, gender=Men, color=Grey, id_dataset=21586)
jeans_23.jpg: Lee Women Navy Blue Roxy Fit Jeans (articleType=Jeans, usage=Casual, gender=Women, color=Navy Blue, id_dataset=50949)
jeans_24.jpg: John Players Men Blue Jeans (articleType=Jeans, usage=Casual, gender=Men, color=Blue, id_dataset=56847)
jeans_25.jpg: French Connection Men Blue Jeans (articleType=Jeans, usage=Casual, gender=Men, color=Blue, id_dataset=48387)
jeans_26.jpg: Jealous 21 Women Washed Blue Jeans (articleType=Jeans, usage=Casual, gender=Women, color=Blue, id_dataset=27018)
jeans_27.jpg: Jealous 21 Women Navy Blue Jeans (articleType=Jeans, usage=Casual, gender=Women, color=Navy Blue, id_dataset=27020)
jeans_28.jpg: Levis Kids Blue Solid Jean (articleType=Jeans, usage=Casual, gender=Unisex, color=Blue, id_dataset=13671)
jeans_29.jpg: Wrangler Women Blue Molly Jeans (articleType=Jeans, usage=Casual, gender=Women, color=Blue, id_dataset=51602)
jeans_30.jpg: Lee Men Tino Blue Jeans (articleType=Jeans, usage=Casual, gender=Men, color=Blue, id_dataset=44586)
jeans_31.jpg: Spykar Women Ep Jeans Blue Jeans (articleType=Jeans, usage=Casual, gender=Women, color=Blue, id_dataset=12333)
