Dataset: Fashion Product Images (Small), Param Aggarwal (Kaggle)
https://www.kaggle.com/datasets/paramaggarwal/fashion-product-images-small
Mirror en Hugging Face: https://huggingface.co/datasets/ashraq/fashion-product-images-small
Aviso: no es una licencia libre explicita (origen e-commerce Myntra via Kaggle) -- uso apropiado para prototipo de investigacion academica, revisar antes de cualquier otro uso.

dresses_1.jpg: Arrow Woman Women Blue Dress (articleType=Dresses, usage=Casual, gender=Women, color=Blue, id_dataset=39716)
dresses_2.jpg: Gini and Jony Girl's Vanya White Polka Dot Kidswear (articleType=Dresses, usage=Casual, gender=Women, color=White, id_dataset=4988)
dresses_3.jpg: Gini and Jony Girls Black Dress (articleType=Dresses, usage=Casual, gender=Girls, color=Black, id_dataset=31127)
dresses_4.jpg: United Colors of Benetton Women Solid Grey Dresses (articleType=Dresses, usage=Casual, gender=Women, color=Grey, id_dataset=10406)
dresses_5.jpg: Forever New Women's Top Black Dress (articleType=Dresses, usage=Casual, gender=Women, color=Black, id_dataset=6873)
dresses_6.jpg: 109F Blue A-Line Dress (articleType=Dresses, usage=Casual, gender=Women, color=Blue, id_dataset=46271)
dresses_7.jpg: Femella Women Yellow Dress (articleType=Dresses, usage=Casual, gender=Women, color=Yellow, id_dataset=59897)
dresses_8.jpg: Little Miss Girls Chatterbox Navy Blue Dress (articleType=Dresses, usage=Casual, gender=Girls, color=Navy Blue, id_dataset=36750)
dresses_9.jpg: 109F Women Multi Coloured Dress (articleType=Dresses, usage=Casual, gender=Women, color=Multi, id_dataset=46285)
dresses_10.jpg: Forever New Women Pink Sleeveless Dress (articleType=Dresses, usage=Casual, gender=Women, color=Pink, id_dataset=6874)
dresses_11.jpg: Giny and Jony Girls Printed White & Pink Dress (articleType=Dresses, usage=Casual, gender=Girls, color=Magenta, id_dataset=31129)
dresses_12.jpg: French Connection Women Grey Melange Dress (articleType=Dresses, usage=Casual, gender=Women, color=Grey Melange, id_dataset=43509)
dresses_13.jpg: Femella Women Black Dress (articleType=Dresses, usage=Casual, gender=Women, color=Black, id_dataset=25971)
dresses_14.jpg: Sepia Women Pink Dress (articleType=Dresses, usage=Casual, gender=Women, color=Pink, id_dataset=33225)
dresses_15.jpg: Doodle Girls Blue Printed Dress (articleType=Dresses, usage=Casual, gender=Girls, color=Blue, id_dataset=50723)
dresses_16.jpg: French Connection Women White & Blue  Striped Dress (articleType=Dresses, usage=Casual, gender=Women, color=White, id_dataset=48525)
dresses_17.jpg: Latin Quarters Women & White Black Dress (articleType=Dresses, usage=Casual, gender=Women, color=Black, id_dataset=57995)
dresses_18.jpg: Latin Quarters Women Pink & Black Printed Dress (articleType=Dresses, usage=Casual, gender=Women, color=Pink, id_dataset=38838)
dresses_19.jpg: Mineral Cream Dress (articleType=Dresses, usage=Casual, gender=Women, color=Cream, id_dataset=49631)
dresses_20.jpg: Arrow Woman Solid Green Dress (articleType=Dresses, usage=Casual, gender=Women, color=Green, id_dataset=18897)
dresses_21.jpg: Doodle Girls Blue Washed Dress (articleType=Dresses, usage=Casual, gender=Girls, color=Blue, id_dataset=50724)
dresses_22.jpg: Gini and Jony Girls Black Dress (articleType=Dresses, usage=Casual, gender=Girls, color=Black, id_dataset=34065)
dresses_23.jpg: Doodle Kids Girl Printed White Dress (articleType=Dresses, usage=Casual, gender=Women, color=White, id_dataset=27224)
dresses_24.jpg: UCB Women's Sleeveless Off White Dress (articleType=Dresses, usage=Casual, gender=Women, color=White, id_dataset=7306)
dresses_25.jpg: Latin Quarters Women Blue Dress (articleType=Dresses, usage=Casual, gender=Women, color=Blue, id_dataset=38836)
dresses_26.jpg: Doodle Kids Girl Printed Blue Dress (articleType=Dresses, usage=Casual, gender=Women, color=Blue, id_dataset=27223)
dresses_27.jpg: United Colors of Benetton Women Purple Dress (articleType=Dresses, usage=Casual, gender=Women, color=Purple, id_dataset=43302)
dresses_28.jpg: United Colors of Benetton Women Solid White Dress (articleType=Dresses, usage=Casual, gender=Women, color=White, id_dataset=13472)
dresses_29.jpg: Gini and Jony Girls Printed Pink Dress (articleType=Dresses, usage=Casual, gender=Girls, color=Pink, id_dataset=34062)
dresses_30.jpg: Jealous 21 Women Black Dress (articleType=Dresses, usage=Casual, gender=Women, color=Black, id_dataset=26934)
dresses_31.jpg: Gini and Jony Girls Printed Teal Dress (articleType=Dresses, usage=Casual, gender=Girls, color=Blue, id_dataset=31128)
dresses_32.jpg: French Connection Women Navy Blue Striped Dress (articleType=Dresses, usage=Casual, gender=Women, color=White, id_dataset=43508)
dresses_33.jpg: Forever New Women's Gold Sleeveless Black Dress (articleType=Dresses, usage=Casual, gender=Women, color=Black, id_dataset=6875)
dresses_34.jpg: 109F Red & White A-Line Dress (articleType=Dresses, usage=Casual, gender=Women, color=Red, id_dataset=46277)
dresses_35.jpg: Doodle Kids Girl Printed Blue Dress (articleType=Dresses, usage=Casual, gender=Women, color=Blue, id_dataset=33486)
dresses_36.jpg: Forever New Women's Lacy Black Dress (articleType=Dresses, usage=Casual, gender=Women, color=Black, id_dataset=6872)
dresses_37.jpg: Gini and Jony Girl's Viveca White Floral Kidswear (articleType=Dresses, usage=Casual, gender=Women, color=White, id_dataset=4987)
dresses_38.jpg: Tonga Women Teal Dress (articleType=Dresses, usage=Casual, gender=Women, color=Teal, id_dataset=51465)
