Dataset: Fashion Product Images (Small), Param Aggarwal (Kaggle)
https://www.kaggle.com/datasets/paramaggarwal/fashion-product-images-small
Mirror en Hugging Face: https://huggingface.co/datasets/ashraq/fashion-product-images-small
Aviso: no es una licencia libre explicita (origen e-commerce Myntra via Kaggle) -- uso apropiado para prototipo de investigacion academica, revisar antes de cualquier otro uso.

flip_flops_1.jpg: Fila Men Cush Flex Black Slippers (articleType=Flip Flops, usage=Casual, gender=Men, color=Black, id_dataset=18653)
flip_flops_2.jpg: Ben 10 Boys Navy Blue Slippers (articleType=Flip Flops, usage=Casual, gender=Boys, color=Navy Blue, id_dataset=46885)
flip_flops_3.jpg: Lotto Men XL Water Man Silver Slippers (articleType=Flip Flops, usage=Casual, gender=Men, color=Silver, id_dataset=19123)
flip_flops_4.jpg: Reebok Men Black Possession Flip Flops (articleType=Flip Flops, usage=Casual, gender=Men, color=Black, id_dataset=43369)
flip_flops_5.jpg: Crocs Kids Navy Blue Clogs (articleType=Flip Flops, usage=Casual, gender=Unisex, color=Navy Blue, id_dataset=8746)
flip_flops_6.jpg: iPanema Women Red Flip Flops (articleType=Flip Flops, usage=Casual, gender=Women, color=Red, id_dataset=49839)
flip_flops_7.jpg: Numero Uno Men Black Flip Flops (articleType=Flip Flops, usage=Casual, gender=Men, color=Black, id_dataset=30234)
flip_flops_8.jpg: Gliders Men Esquire Red Flip Flops (articleType=Flip Flops, usage=Casual, gender=Men, color=Red, id_dataset=35574)
flip_flops_9.jpg: ADIDAS Men Adi Cells Black Flip Flops (articleType=Flip Flops, usage=Casual, gender=Men, color=Black, id_dataset=21180)
flip_flops_10.jpg: ADIDAS Women's Adi Groove Blue Flip Flop (articleType=Flip Flops, usage=Casual, gender=Women, color=Blue, id_dataset=5630)
flip_flops_11.jpg: Coolers Men Brown Pokar Flip Flops (articleType=Flip Flops, usage=Casual, gender=Men, color=Brown, id_dataset=44517)
flip_flops_12.jpg: Lotto Women Coral Elegant Flip Flops (articleType=Flip Flops, usage=Casual, gender=Women, color=Orange, id_dataset=44725)
flip_flops_13.jpg: Puma Men's Winglet II Grey Yellow White Flip Flop (articleType=Flip Flops, usage=Casual, gender=Men, color=Grey, id_dataset=7731)
flip_flops_14.jpg: Puma Men Danny Blue Slipper (articleType=Flip Flops, usage=Casual, gender=Men, color=Blue, id_dataset=18492)
flip_flops_15.jpg: Lotto Women XL Kelly Pink Slippers (articleType=Flip Flops, usage=Casual, gender=Women, color=Pink, id_dataset=19124)
flip_flops_16.jpg: Spalding Men's Black and White Graphic Flip Flop (articleType=Flip Flops, usage=Casual, gender=Men, color=Black, id_dataset=3998)
flip_flops_17.jpg: Lotto Women Red & Orange Disco Holic Flip Flops (articleType=Flip Flops, usage=Casual, gender=Women, color=Orange, id_dataset=44722)
flip_flops_18.jpg: ADIDAS Men Plugged In Yellow Flip Flops (articleType=Flip Flops, usage=Casual, gender=Men, color=Yellow, id_dataset=21187)
flip_flops_19.jpg: Gliders Men Esquire Blue Flip Flops (articleType=Flip Flops, usage=Casual, gender=Men, color=Blue, id_dataset=35573)
flip_flops_20.jpg: ADIDAS Women Polka Pink Flip Flops (articleType=Flip Flops, usage=Casual, gender=Women, color=Pink, id_dataset=24633)
flip_flops_21.jpg: iPanema Women Blue Flip Flops (articleType=Flip Flops, usage=Casual, gender=Women, color=Blue, id_dataset=49808)
flip_flops_22.jpg: Rockport Men Jelba Brown Flip Flops (articleType=Flip Flops, usage=Casual, gender=Men, color=Brown, id_dataset=15519)
flip_flops_23.jpg: iPanema Women Pink Flip Flops (articleType=Flip Flops, usage=Casual, gender=Women, color=Pink, id_dataset=44189)
flip_flops_24.jpg: Lotto Men Maroon Juve Flip Flop (articleType=Flip Flops, usage=Casual, gender=Men, color=Maroon, id_dataset=44714)
flip_flops_25.jpg: iPanema Women Blue Flip Flops (articleType=Flip Flops, usage=Casual, gender=Women, color=Blue, id_dataset=49837)
flip_flops_26.jpg: Lotto Men Earth Black Slipper (articleType=Flip Flops, usage=Casual, gender=Men, color=Black, id_dataset=16733)
flip_flops_27.jpg: Nike Men's Splash Thong Yellow Black Flip Flop (articleType=Flip Flops, usage=Casual, gender=Men, color=Brown, id_dataset=5601)
flip_flops_28.jpg: Filac Men Hawai Black Slippers (articleType=Flip Flops, usage=Casual, gender=Men, color=Black, id_dataset=15384)
flip_flops_29.jpg: Lotto Men's Thong Blue White Flip Flop (articleType=Flip Flops, usage=Casual, gender=Men, color=Grey, id_dataset=6414)
flip_flops_30.jpg: Spalding Men Black Flip Flops (articleType=Flip Flops, usage=Casual, gender=Men, color=Black, id_dataset=3996)
flip_flops_31.jpg: Crocs Women Abf Single Flip Slippers (articleType=Flip Flops, usage=Casual, gender=Women, color=Black, id_dataset=8542)
flip_flops_32.jpg: Rockport Men Jelbalp Black Flip Flops (articleType=Flip Flops, usage=Casual, gender=Men, color=Black, id_dataset=15521)
flip_flops_33.jpg: Lotto Men Black Koro G Slippers (articleType=Flip Flops, usage=Casual, gender=Men, color=Black, id_dataset=33641)
flip_flops_34.jpg: Lotto Men Black Flip Flops (articleType=Flip Flops, usage=Casual, gender=Men, color=Black, id_dataset=44713)
flip_flops_35.jpg: Lotto Men Emeriti Maroon Slipper (articleType=Flip Flops, usage=Casual, gender=Men, color=Maroon, id_dataset=16734)
flip_flops_36.jpg: iPanema Women Pink Flip Flops (articleType=Flip Flops, usage=Casual, gender=Women, color=Pink, id_dataset=49830)
flip_flops_37.jpg: Converse Unisex Green Flip Flops (articleType=Flip Flops, usage=Casual, gender=Unisex, color=Green, id_dataset=17646)
flip_flops_38.jpg: Lotto Women's Cross Color Black Pink Flip Flop (articleType=Flip Flops, usage=Casual, gender=Women, color=Black, id_dataset=6447)
flip_flops_39.jpg: Quiksilver Men White Flip Flops (articleType=Flip Flops, usage=Casual, gender=Men, color=White, id_dataset=40777)
flip_flops_40.jpg: Puma Men Aqua Cat II Power Red Flip Flops (articleType=Flip Flops, usage=Casual, gender=Men, color=Red, id_dataset=26591)
sandals_1.jpg: ADIDAS Men Spry M Black Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Black, id_dataset=12967)
sandals_2.jpg: Crocs Dora Boots Pink Sandals (articleType=Sandals, usage=Casual, gender=Women, color=Pink, id_dataset=8574)
sandals_3.jpg: Ganuchi Men Casual Black Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Black, id_dataset=11940)
sandals_4.jpg: Lotto Men Ridge Brown Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Brown, id_dataset=33648)
sandals_5.jpg: Puma Men Fashion Cat White Slipper (articleType=Sandals, usage=Casual, gender=Men, color=White, id_dataset=18495)
sandals_6.jpg: Estd. 1977 Men Beige & Green Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Beige, id_dataset=41866)
sandals_7.jpg: Coolers Men Black Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Black, id_dataset=44528)
sandals_8.jpg: Estd. 1977 Men Black Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Black, id_dataset=41859)
sandals_9.jpg: Gas Men Eldorado Tan Casual  Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Tan, id_dataset=22537)
sandals_10.jpg: Lee Cooper Men Brown Casual Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Brown, id_dataset=22153)
sandals_11.jpg: Puma Men Olive Techno Ind Sandal (articleType=Sandals, usage=Casual, gender=Men, color=Olive, id_dataset=43958)
sandals_12.jpg: Estd. 1977 Men Black Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Black, id_dataset=41861)
sandals_13.jpg: ADIDAS Men Kendall Black Navy Floater (articleType=Sandals, usage=Casual, gender=Men, color=Black, id_dataset=5608)
sandals_14.jpg: Franco Leone Men Brown Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Brown, id_dataset=47198)
sandals_15.jpg: Ganuchi Men Casual Olive Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Olive, id_dataset=11947)
sandals_16.jpg: ADIDAS Men Receptor Grey Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Grey, id_dataset=19927)
sandals_17.jpg: FILA Men Aruba Navy Blue Sandal (articleType=Sandals, usage=Casual, gender=Men, color=Navy Blue, id_dataset=11978)
sandals_18.jpg: Gliders Men Brown Leather Sandals (articleType=Sandals, usage=Casual, gender=Men, color=Brown, id_dataset=35587)
